Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,Cluster
Chris Andersen,32.0,DEN,5.0,45.0,0.0,732.0,19.0,0.636,0.007,0.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,1.9,1.2,3.2,0.207,1.2,1.8,3.0,0.9,,2011.0,4
Acie Law,26.0,2TM,1.0,51.0,0.0,726.0,9.9,0.502,0.194,0.344,1.9,8.2,5.0,16.3,2.2,0.0,16.7,15.7,0.1,0.3,0.4,0.027,-3.5,-0.5,-4.0,-0.4,,2011.0,5
Ronnie Price,27.0,UTA,2.0,59.0,0.0,717.0,5.5,0.434,0.329,0.186,3.7,6.6,5.1,11.7,3.1,0.6,19.5,18.0,-1.2,0.5,-0.7,-0.048,-6.2,-0.1,-6.3,-0.8,,2011.0,5
Lou Amundson,28.0,GSW,4.0,46.0,7.0,691.0,11.5,0.452,0.0,0.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,0.2,0.5,0.6,0.044,-3.1,-1.4,-4.5,-0.4,,2011.0,4
D.J. White,24.0,2TM,5.0,47.0,0.0,685.0,15.3,0.542,0.009,0.292,7.6,20.0,13.8,4.9,0.9,2.3,5.4,17.7,1.1,0.7,1.8,0.128,-0.6,-0.5,-1.1,0.2,,2011.0,4
Jon Brockman,23.0,MIL,5.0,63.0,6.0,677.0,9.6,0.567,0.0,0.628,12.4,19.4,15.8,4.2,1.1,0.3,16.7,10.0,0.8,1.0,1.9,0.132,-4.1,0.2,-3.9,-0.3,,2011.0,4
Damien Wilkins,31.0,ATL,3.0,52.0,0.0,676.0,11.4,0.557,0.073,0.409,4.1,11.9,8.0,9.3,2.1,1.0,11.5,12.8,0.7,0.8,1.5,0.104,-2.4,1.4,-1.0,0.2,,2011.0,5
Josh Powell,28.0,ATL,4.0,54.0,0.0,653.0,8.0,0.492,0.005,0.216,9.1,15.8,12.5,5.5,0.4,0.6,18.9,20.4,-0.7,0.5,-0.2,-0.012,-5.0,-2.3,-7.3,-0.9,,2011.0,4
Luke Harangody,23.0,2TM,4.0,49.0,0.0,640.0,10.1,0.444,0.32,0.126,7.5,18.9,13.2,7.6,1.2,2.0,6.9,16.8,-0.1,0.7,0.6,0.048,-3.3,-0.4,-3.7,-0.3,,2011.0,1
Kevin Séraphin,21.0,WAS,4.0,58.0,1.0,635.0,8.4,0.479,0.0,0.211,13.9,13.4,13.7,2.4,1.4,3.4,20.7,14.1,-0.2,0.5,0.2,0.017,-5.8,-1.0,-6.9,-0.8,,2011.0,2
Brian Cardinal,33.0,DAL,3.0,56.0,4.0,618.0,9.7,0.672,0.87,0.18,2.0,8.9,5.6,9.1,2.0,0.9,13.6,9.5,1.0,0.7,1.7,0.132,-1.2,2.4,1.2,0.5,,2011.0,1
Francisco Elson,34.0,UTA,5.0,62.0,1.0,610.0,8.9,0.529,0.0,0.274,6.9,16.0,11.4,7.9,1.8,1.9,20.2,11.9,0.1,0.5,0.6,0.046,-3.8,0.3,-3.5,-0.2,,2011.0,4
Jared Jeffries,29.0,2TM,4.0,42.0,9.0,601.0,8.0,0.375,0.105,0.337,11.7,10.3,11.0,8.1,2.6,2.0,17.5,8.8,0.0,0.5,0.6,0.045,-2.8,0.5,-2.2,0.0,,2011.0,4
Daequan Cook,23.0,OKC,2.0,43.0,0.0,598.0,12.8,0.63,0.851,0.11,1.6,12.1,7.0,5.3,1.2,0.1,8.2,15.7,1.2,0.4,1.6,0.126,1.8,-0.7,1.1,0.5,,2011.0,1
Jason Collins,32.0,ATL,5.0,49.0,28.0,593.0,5.4,0.539,0.014,0.577,6.1,14.5,10.4,5.3,0.8,1.2,22.6,9.2,0.1,0.5,0.6,0.049,-5.3,0.4,-4.8,-0.4,,2011.0,4
Juwan Howard,37.0,MIA,4.0,57.0,0.0,592.0,8.4,0.495,0.0,0.28,7.7,16.3,12.2,5.8,0.9,0.5,15.1,13.1,0.2,0.8,0.9,0.074,-3.5,0.0,-3.5,-0.2,,2011.0,4
Dahntay Jones,30.0,IND,2.0,45.0,2.0,589.0,13.7,0.558,0.182,0.421,0.8,11.4,6.1,9.5,1.7,0.9,10.9,21.4,0.6,0.6,1.2,0.102,-1.7,0.5,-1.2,0.1,,2011.0,1
Craig Smith,27.0,LAC,4.0,48.0,0.0,586.0,15.4,0.592,0.027,0.362,8.7,14.7,11.7,9.1,1.4,0.9,13.2,19.1,1.0,0.4,1.5,0.12,-0.8,-0.3,-1.1,0.1,,2011.0,4
Matt Carroll,30.0,CHA,2.0,54.0,1.0,582.0,12.2,0.53,0.231,0.261,2.5,11.7,7.1,6.9,1.6,0.8,9.4,19.8,0.3,0.5,0.8,0.062,-1.9,-0.8,-2.7,-0.1,,2011.0,1
Derrick Brown,23.0,2TM,3.0,49.0,1.0,576.0,12.9,0.588,0.076,0.458,8.5,12.2,10.3,9.5,1.8,1.4,18.2,15.5,0.5,0.5,1.0,0.083,-1.4,-0.1,-1.6,0.1,,2011.0,1
Von Wafer,25.0,BOS,2.0,58.0,2.0,553.0,10.6,0.524,0.421,0.239,1.7,8.8,5.5,9.8,1.7,0.7,10.2,17.0,0.2,0.9,1.1,0.092,-2.3,0.9,-1.4,0.1,,2011.0,5
Cartier Martin,26.0,WAS,3.0,52.0,1.0,542.0,11.7,0.524,0.544,0.22,4.1,11.8,7.8,5.2,1.7,0.8,7.4,17.6,0.5,0.3,0.8,0.071,0.2,-0.8,-0.6,0.2,,2011.0,1
Timofey Mozgov,24.0,2TM,5.0,45.0,14.0,524.0,10.8,0.523,0.0,0.391,10.0,16.4,13.2,4.2,1.4,3.5,18.3,16.2,0.1,0.5,0.6,0.053,-4.3,-0.4,-4.7,-0.3,,2011.0,4
Joey Dorsey,27.0,TOR,5.0,43.0,9.0,522.0,14.2,0.529,0.0,0.657,17.5,25.8,21.6,7.4,2.4,2.5,23.4,14.3,0.2,0.5,0.8,0.072,-1.6,0.1,-1.6,0.1,,2011.0,4
Ian Mahinmi,24.0,DAL,5.0,56.0,0.0,488.0,13.7,0.645,0.02,0.837,10.7,17.8,14.4,2.5,1.5,2.3,15.7,15.3,1.0,0.8,1.8,0.177,-3.3,1.1,-2.1,0.0,,2011.0,4
Hilton Armstrong,26.0,2TM,5.0,53.0,2.0,488.0,8.8,0.508,0.053,0.434,9.5,21.6,15.4,4.2,1.9,3.3,23.6,10.9,-0.1,0.6,0.5,0.045,-4.7,1.0,-3.7,-0.2,,2011.0,4
Darnell Jackson,25.0,SAC,4.0,59.0,2.0,486.0,12.3,0.521,0.07,0.31,11.2,10.8,11.0,4.6,1.2,0.4,11.4,18.0,0.4,0.3,0.7,0.069,-1.9,-1.6,-3.5,-0.2,,2011.0,1
Luke Walton,30.0,LAL,3.0,54.0,0.0,484.0,5.1,0.378,0.293,0.086,2.2,13.1,7.8,18.0,1.0,0.6,20.5,14.3,-0.7,0.5,-0.2,-0.016,-4.8,-0.2,-5.0,-0.4,,2011.0,5
Earl Clark,23.0,2TM,3.0,42.0,0.0,464.0,10.1,0.456,0.032,0.297,9.5,15.7,12.7,3.1,0.9,3.0,13.5,20.5,-0.4,0.7,0.3,0.03,-3.9,0.1,-3.8,-0.2,,2011.0,4
Jeremy Evans,23.0,UTA,3.0,49.0,3.0,463.0,18.8,0.678,0.009,0.322,9.3,16.1,12.6,8.5,1.9,3.0,12.6,14.9,1.2,0.4,1.6,0.167,1.5,0.6,2.1,0.5,,2011.0,4
Dan Gadzuric,32.0,2TM,5.0,42.0,9.0,463.0,9.9,0.419,0.008,0.209,17.2,16.4,16.8,4.5,1.4,4.8,17.1,16.5,-0.3,0.4,0.1,0.014,-5.7,-1.3,-7.0,-0.6,,2011.0,4
Kyrylo Fesenko,24.0,UTA,5.0,53.0,1.0,456.0,5.8,0.441,0.01,0.46,8.9,19.8,14.3,5.9,0.5,2.9,17.2,14.6,-0.4,0.3,-0.1,-0.011,-6.5,-0.9,-7.4,-0.6,,2011.0,4
Ish Smith,22.0,2TM,1.0,43.0,3.0,442.0,7.6,0.406,0.087,0.183,1.8,10.3,6.1,25.5,2.1,0.3,21.5,15.9,-0.5,0.4,-0.1,-0.016,-4.5,-0.5,-5.0,-0.3,,2011.0,2
Ben Uzoh,22.0,NJN,1.0,42.0,0.0,438.0,14.7,0.468,0.056,0.389,7.9,8.6,8.2,26.7,1.6,1.4,12.9,20.5,0.2,0.2,0.5,0.054,0.4,-1.0,-0.6,0.2,,2011.0,2
Kosta Koufos,21.0,2TM,5.0,50.0,2.0,434.0,12.6,0.474,0.013,0.287,14.6,19.1,16.8,2.5,1.1,4.4,15.5,19.9,-0.2,0.4,0.2,0.027,-3.9,-1.6,-5.5,-0.4,,2011.0,2
Lazar Hayward,24.0,MIN,3.0,42.0,0.0,419.0,10.8,0.464,0.39,0.273,5.9,12.8,9.3,10.3,1.4,1.3,9.9,19.5,0.1,0.2,0.3,0.035,-1.6,-1.3,-2.9,-0.1,,2011.0,1
Hasheem Thabeet,23.0,2TM,5.0,47.0,0.0,373.0,4.7,0.478,0.0,0.875,7.6,16.5,12.0,1.4,1.3,3.5,23.5,8.7,-0.2,0.5,0.3,0.043,-6.5,0.9,-5.7,-0.3,,2011.0,4
Hasheem Thabeet,23.0,MEM,5.0,45.0,0.0,369.0,4.9,0.487,0.0,0.897,7.7,16.7,12.1,1.4,1.3,3.3,23.8,8.7,-0.1,0.5,0.3,0.045,-6.3,0.8,-5.5,-0.3,,2011.0,4
Kevin Durant,23.0,OKC,3.0,66.0,66.0,2546.0,26.2,0.61,0.265,0.386,1.9,20.4,11.8,17.5,1.8,2.2,14.0,31.3,8.5,3.7,12.2,0.23,6.2,0.8,7.0,5.8,"MVP-2,AS,NBA1",2012.0,0
Pau Gasol,31.0,LAL,4.0,65.0,65.0,2430.0,20.4,0.547,0.029,0.285,8.8,21.8,15.6,17.2,0.8,2.6,12.1,22.1,5.2,3.1,8.3,0.165,2.6,0.8,3.4,3.3,,2012.0,0
Rudy Gay,25.0,MEM,3.0,65.0,65.0,2422.0,17.8,0.521,0.162,0.246,6.1,14.1,10.1,10.8,2.1,1.8,12.0,25.1,2.8,3.3,6.0,0.12,1.7,0.2,1.9,2.4,,2012.0,0
Blake Griffin,22.0,LAC,4.0,66.0,66.0,2392.0,23.4,0.557,0.016,0.458,10.7,25.1,17.8,16.6,1.2,1.7,10.9,26.6,6.6,2.6,9.2,0.185,3.9,-0.2,3.7,3.4,"AS,NBA2",2012.0,0
John Wall,21.0,WAS,1.0,66.0,66.0,2386.0,17.7,0.502,0.047,0.45,2.2,12.0,7.1,36.9,2.1,1.8,19.2,24.9,1.7,1.9,3.5,0.071,1.3,-0.6,0.7,1.6,,2012.0,2
Marc Gasol,27.0,MEM,5.0,65.0,65.0,2370.0,18.4,0.541,0.016,0.428,5.8,23.1,14.3,14.1,1.4,4.1,12.1,19.1,4.2,4.0,8.2,0.166,1.0,2.1,3.1,3.1,"DPOY-12,AS",2012.0,0
Brandon Jennings,22.0,MIL,1.0,66.0,66.0,2331.0,18.4,0.514,0.346,0.213,2.3,8.6,5.3,26.7,2.3,0.7,10.6,25.9,3.8,1.8,5.5,0.114,3.0,-0.3,2.7,2.8,,2012.0,2
Russell Westbrook,23.0,OKC,1.0,66.0,66.0,2331.0,22.9,0.538,0.155,0.326,5.0,9.4,7.4,29.8,2.5,0.7,14.2,32.7,5.5,2.4,7.9,0.163,3.7,-0.7,3.0,3.0,"MVP-12,DPOY-18,AS,NBA2",2012.0,0
Josh Smith,26.0,ATL,4.0,66.0,66.0,2329.0,21.1,0.499,0.099,0.292,6.9,24.8,15.9,20.6,2.1,3.8,11.7,28.4,1.9,4.9,6.8,0.139,1.7,2.1,3.8,3.3,DPOY-10,2012.0,0
LeBron James,27.0,MIA,3.0,62.0,62.0,2326.0,30.7,0.605,0.127,0.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,10.0,4.5,14.5,0.298,8.2,2.7,10.9,7.6,"MVP-1,DPOY-4,AS,NBA1,DEF1",2012.0,0
Kobe Bryant,33.0,LAL,2.0,58.0,58.0,2232.0,21.9,0.527,0.215,0.338,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,4.2,2.0,6.2,0.132,4.2,-0.9,3.3,2.9,"MVP-4,AS,NBA1,DEF2",2012.0,0
Wesley Matthews,25.0,POR,2.0,66.0,53.0,2228.0,14.1,0.539,0.442,0.224,2.9,9.0,5.9,8.3,2.3,0.5,8.0,18.7,3.4,1.4,4.8,0.104,0.3,0.1,0.3,1.3,,2012.0,3
Andre Iguodala,28.0,PHI,3.0,62.0,62.0,2209.0,17.6,0.537,0.305,0.31,2.8,16.4,9.6,23.7,2.6,1.0,13.8,17.7,3.1,4.2,7.3,0.158,1.5,2.5,4.0,3.3,"DPOY-7,AS",2012.0,0
DeMar DeRozan,22.0,TOR,2.0,63.0,63.0,2206.0,12.8,0.503,0.102,0.367,2.1,9.0,5.6,10.8,1.2,0.6,10.5,25.0,1.1,1.4,2.5,0.054,-1.4,-1.3,-2.7,-0.4,,2012.0,2
Jrue Holiday,21.0,PHI,1.0,65.0,65.0,2196.0,14.7,0.496,0.205,0.144,2.9,7.9,5.4,21.6,2.5,0.6,13.2,21.8,0.9,3.3,4.2,0.092,-0.5,0.9,0.4,1.3,,2012.0,2
