season_year,teamName,personName,PER,MPG,PPG,FGM_PG,FGA_PG,3PM_PG,3PA_PG,FTM_PG,FTA_PG,ORPG,DRPG,RPG,APG,SPG,BPG,TOPG,PFPG,plusMinus_PG,FG%,3PT%,FT%,AST_TO,STL_TO,TOV_pct,USG_pct,TS%
2023-24,Celtics,Kristaps Porzingis,25.24,29.14,19.74,6.69,12.97,1.9,5.05,4.47,5.21,1.67,5.38,7.05,1.98,0.72,1.91,1.53,2.69,7.19,0.516,0.375,0.858,1.2921348314606742,0.47191011235955055,9.138702920277652,111.06194690265488,0.6469803815206582
2023-24,Clippers,Kawhi Leonard,25.23,34.27,23.72,8.97,17.09,2.06,4.94,3.72,4.21,1.24,4.88,6.12,3.59,1.63,0.87,1.75,1.43,5.76,0.525,0.417,0.885,2.0504201680672267,0.9327731092436975,8.458673338830287,106.34997429772301,0.6262423903590508
2023-24,Celtics,Neemias Queta,24.96,6.8,3.14,1.37,2.12,0.0,0.0,0.41,0.57,1.08,1.41,2.49,0.41,0.27,0.43,0.27,1.02,2.76,0.644,0.0,0.714,1.5384615384615385,1.0,10.052582740488711,169.44444444444446,0.6619669876203577
2023-24,Pelicans,Zion Williamson,24.82,28.66,20.79,8.1,14.21,0.08,0.23,4.51,6.42,1.58,3.69,5.27,4.57,0.99,0.61,2.51,2.06,1.86,0.57,0.333,0.702,1.8238341968911918,0.39378238341968913,12.82937594724667,108.82548684857777,0.6104349682772083
2023-24,Bulls,Andre Drummond,24.8,17.11,8.39,3.38,6.08,0.0,0.04,1.63,2.76,3.35,5.61,8.96,0.47,0.92,0.61,1.03,1.77,0.33,0.556,0.0,0.592,0.4567901234567901,0.9012345679012346,12.330268525847897,167.61583996734038,0.5756007778858175
2023-24,Pacers,Isaiah Jackson,24.48,9.76,4.85,1.96,2.95,0.0,0.05,0.92,1.29,1.19,1.82,3.01,0.63,0.43,0.77,0.49,1.73,0.37,0.665,0.0,0.716,1.2820512820512822,0.8717948717948718,12.307498106538754,142.17516152189523,0.6891463941269613
2023-24,Rockets,Alperen Sengun,24.25,32.47,21.13,8.37,15.59,0.52,1.76,3.87,5.59,2.9,6.44,9.35,4.95,1.21,0.73,2.57,3.35,0.78,0.537,0.297,0.693,1.9259259259259258,0.4691358024691358,12.472283813747227,116.399612861598,0.58537400605165
2023-24,Knicks,Jalen Brunson,24.25,33.25,26.98,9.63,20.1,2.57,6.41,5.13,6.06,0.52,2.87,3.39,6.33,0.85,0.16,2.27,1.76,6.24,0.479,0.401,0.847,2.7903225806451615,0.3763440860215054,9.061324707212034,102.13964412244731,0.5924957678873722
2023-24,Mavericks,Kyrie Irving,24.21,34.99,25.64,9.69,19.5,2.98,7.26,3.28,3.62,0.76,4.24,5.0,5.16,1.28,0.48,1.83,1.93,4.78,0.497,0.411,0.905,2.8207547169811322,0.6981132075471698,7.9735218895742435,103.42305896997037,0.6077325486349517
2023-24,Celtics,Jayson Tatum,24.15,35.27,26.49,8.96,19.01,3.05,8.12,5.52,6.63,0.89,7.12,8.01,4.85,1.0,0.57,2.51,1.93,8.11,0.471,0.376,0.833,1.9361702127659575,0.39893617021276595,10.258201104393565,103.79457206288794,0.604068876620376
2023-24,Warriors,Trayce Jackson-Davis,24.11,14.31,6.84,2.95,4.2,0.0,0.01,0.94,1.67,1.71,2.61,4.32,1.04,0.37,0.96,0.62,1.37,0.41,0.702,0.0,0.561,1.6734693877551021,0.5918367346938775,11.159697549421518,144.3962115232834,0.6921657095980313
2023-24,Suns,Devin Booker,24.08,35.98,27.07,9.44,19.19,2.24,6.15,5.96,6.72,0.82,3.71,4.53,6.94,0.9,0.41,2.62,3.03,4.65,0.492,0.364,0.886,2.651685393258427,0.34269662921348315,10.569569141608476,103.43963441599917,0.6111893126527144
2023-24,Jazz,Lauri Markkanen,23.97,33.09,23.24,7.76,16.18,3.18,7.98,4.53,5.04,2.22,5.95,8.16,2.0,0.91,0.47,1.4,1.82,0.38,0.48,0.399,0.899,1.4285714285714286,0.6493506493506493,7.071486297847328,112.61790501406588,0.6314978060639601
2023-24,Heat,Jimmy Butler,23.88,31.42,19.17,6.09,12.2,0.92,2.23,6.06,7.06,1.62,3.28,4.89,4.58,1.22,0.26,1.57,1.05,3.31,0.499,0.414,0.858,2.9215686274509802,0.7745098039215687,9.298424737456243,110.58510423807408,0.6261558253598134
2023-24,Cavaliers,Donovan Mitchell,23.84,34.69,26.13,8.98,19.45,3.25,8.82,4.91,5.68,0.82,4.18,5.0,5.95,1.8,0.54,2.75,2.11,5.8,0.462,0.368,0.865,2.1623376623376624,0.6558441558441559,11.135857461024498,103.44074439757048,0.5952380952380952
2023-24,Pacers,T.J. McConnell,23.73,15.94,8.98,4.07,7.32,0.22,0.54,0.6,0.77,0.44,1.91,2.36,4.81,0.89,0.1,1.33,0.98,1.17,0.556,0.409,0.79,3.611111111111111,0.6666666666666666,14.829461196243203,105.20020800832032,0.5860256658283356
2023-24,Cavaliers,Jarrett Allen,23.64,31.72,16.51,6.74,10.64,0.0,0.08,3.03,4.08,3.16,7.38,10.53,2.73,0.69,1.05,1.57,1.91,2.61,0.634,0.0,0.742,1.7355371900826446,0.4380165289256198,11.222824070638868,129.09622108338522,0.6639433323582264
2023-24,Pacers,Jalen Smith,23.58,15.39,8.84,3.44,5.81,0.9,2.12,1.06,1.53,1.65,3.31,4.96,0.93,0.25,0.56,0.65,1.82,-0.19,0.592,0.424,0.692,1.4318181818181819,0.38636363636363635,9.076656489809391,130.04614228994532,0.681776930755967
2023-24,Pacers,Pascal Siakam,23.4,31.79,21.27,8.68,15.8,0.95,2.46,2.95,4.22,2.07,5.71,7.78,3.71,0.76,0.37,1.41,2.59,2.54,0.549,0.386,0.699,2.6206896551724137,0.5344827586206896,7.415741829898225,112.19302272205643,0.6021101474893664
2023-24,Suns,Kevin Durant,23.28,36.72,26.74,9.88,18.89,2.21,5.36,4.76,5.57,0.54,5.97,6.51,4.97,0.91,1.2,3.21,1.75,3.83,0.523,0.413,0.856,1.5491803278688525,0.2827868852459016,13.075257754056546,102.24642763215564,0.626340837915814
2023-24,Hawks,Clint Capela,23.27,24.78,11.0,4.64,8.13,0.0,0.01,1.71,2.71,4.41,5.8,10.21,1.2,0.57,1.39,0.97,2.16,-0.22,0.571,0.0,0.631,1.2297297297297298,0.581081081081081,9.455177348461618,174.83692252703077,0.589862271393091
2023-24,Thunder,Chet Holmgren,22.87,29.42,16.55,6.16,11.62,1.57,4.26,2.66,3.35,1.57,6.33,7.9,2.44,0.65,2.32,1.6,2.4,5.16,0.53,0.37,0.793,1.5267175572519085,0.40458015267175573,10.87136929460581,111.98884758364312,0.6317504655493482
2023-24,Wizards,Daniel Gafford,22.83,26.48,10.89,4.51,6.53,0.0,0.0,1.87,2.64,2.91,5.11,8.02,1.53,0.98,2.16,1.02,3.27,-4.16,0.69,0.0,0.706,1.5,0.9565217391304348,11.723927005810989,150.1224364860729,0.7073565076798706
2023-24,Warriors,Stephen Curry,22.71,32.72,26.43,8.78,19.53,4.82,11.84,4.04,4.38,0.5,3.96,4.46,5.12,0.73,0.38,2.84,1.58,2.55,0.45,0.408,0.923,1.8047619047619048,0.2571428571428571,11.68250294844122,102.10160403507973,0.6160397087354179
2023-24,Hawks,Trae Young,22.5,31.32,22.4,6.98,16.26,2.82,7.56,5.61,6.56,0.37,2.03,2.4,9.4,1.16,0.18,3.79,1.76,-1.87,0.43,0.373,0.855,2.480851063829787,0.30638297872340425,16.525090009000902,101.64393744460645,0.5850490278666981
2023-24,Nuggets,Jamal Murray,22.32,31.55,21.19,8.03,16.71,2.46,5.78,2.66,3.12,0.71,3.39,4.1,6.51,0.97,0.66,2.12,1.76,5.27,0.481,0.425,0.853,3.072,0.456,10.486929091580254,103.65230094959827,0.5857764114868411
2023-24,Magic,Moritz Wagner,22.29,17.25,10.59,4.05,6.73,0.46,1.4,2.02,2.49,1.43,2.8,4.23,1.17,0.48,0.26,1.18,1.95,1.13,0.601,0.33,0.814,0.9896907216494846,0.4020618556701031,13.130109913909795,118.81755018013382,0.6762652705061082
2023-24,Jazz,Collin Sexton,22.07,26.6,18.69,6.49,13.31,1.64,4.17,4.08,4.74,0.91,1.72,2.63,4.91,0.79,0.23,2.12,1.97,-1.83,0.487,0.394,0.859,2.3212121212121213,0.37575757575757573,12.080831746961488,105.4834723509422,0.60709526982012
2023-24,Nets,Day'Ron Sharpe,22.03,12.97,5.85,2.37,4.14,0.06,0.21,1.06,1.73,2.27,3.21,5.48,1.2,0.34,0.62,0.99,1.85,0.9,0.571,0.267,0.61,1.2142857142857142,0.34285714285714286,16.741605280780636,162.616677037959,0.5960588302884063
2023-24,Kings,De'Aaron Fox,22.03,35.93,26.57,9.73,20.93,2.89,7.84,4.22,5.72,0.91,3.69,4.59,5.65,2.03,0.42,2.62,2.61,3.15,0.465,0.369,0.738,2.154639175257732,0.7731958762886598,10.056398772497305,103.59804953493862,0.5665314214578819
2023-24,Pacers,Myles Turner,21.94,26.62,16.83,6.1,11.65,1.49,4.15,3.14,4.06,1.45,5.38,6.83,1.28,0.5,1.85,1.4,2.97,2.82,0.524,0.358,0.773,0.9174311926605505,0.3577981651376147,9.417009365172616,110.81878063725487,0.6261445139630704
2023-24,Raptors,Scottie Barnes,21.84,34.9,19.85,7.45,15.7,1.68,4.93,3.27,4.18,2.35,5.88,8.23,6.05,1.25,1.47,2.75,1.97,-2.4,0.475,0.341,0.781,2.2,0.45454545454545453,13.553029307399132,113.09873286016868,0.565827980692486
2023-24,Bucks,Damian Lillard,21.78,34.84,23.99,7.31,17.26,2.97,8.41,6.39,6.95,0.49,3.84,4.32,6.86,0.97,0.24,2.61,1.81,5.26,0.424,0.354,0.92,2.6321243523316062,0.37305699481865284,11.37864352419583,102.1684656900539,0.5904228425450384
2023-24,76ers,Tyrese Maxey,21.78,35.97,24.88,8.74,19.44,2.9,7.79,4.49,5.18,0.49,3.04,3.53,5.93,0.95,0.45,1.59,2.07,4.15,0.45,0.373,0.868,3.7327586206896552,0.5948275862068966,6.818235252627372,102.16174669132658,0.5727550273761765
2023-24,Cavaliers,Evan Mobley,21.74,30.65,15.7,6.4,11.06,0.44,1.18,2.46,3.42,2.24,7.12,9.36,3.2,0.9,1.44,1.8,2.68,0.66,0.579,0.373,0.719,1.7777777777777777,0.5,12.530630429939853,118.47453153866459,0.6247612377435375
2023-24,Pelicans,Jonas Valanciunas,21.64,23.47,12.22,4.9,8.77,0.45,1.46,1.96,2.5,2.27,6.52,8.79,2.11,0.4,0.83,1.35,2.66,1.93,0.559,0.308,0.785,1.5585585585585586,0.2972972972972973,12.062595088024342,125.33369654045222,0.6191300049431537
2023-24,Heat,Bam Adebayo,21.6,32.65,18.47,7.16,13.74,0.2,0.57,3.95,5.23,2.15,7.81,9.96,3.76,1.09,0.89,2.19,2.15,0.68,0.521,0.357,0.755,1.7160493827160495,0.5,12.00640341515475,113.35820143159589,0.5756856007007615
2023-24,Celtics,Luke Kornet,21.58,13.11,4.45,1.89,2.71,0.01,0.01,0.65,0.72,1.57,1.91,3.48,0.89,0.31,0.81,0.28,1.03,2.91,0.7,1.0,0.907,3.1904761904761907,1.0952380952380953,8.475944462382952,190.93711467324292,0.7364614570470983
2023-24,Thunder,Jalen Williams,21.28,31.32,19.08,7.55,13.99,1.45,3.39,2.54,3.11,0.52,3.45,3.97,4.54,1.13,0.63,1.73,2.46,5.39,0.54,0.427,0.814,2.6178861788617884,0.6504065040650406,10.138142494477597,103.14561654084197,0.6214228059876724
2023-24,Raptors,Jakob Poeltl,21.24,26.38,11.1,4.96,7.56,0.0,0.0,1.18,2.14,2.92,5.66,8.58,2.54,0.7,1.52,1.54,2.98,-0.34,0.656,0.0,0.551,1.6493506493506493,0.45454545454545453,15.336201402166985,141.0020220175242,0.6528182930271949
2023-24,Timberwolves,Anthony Edwards,21.2,35.07,25.94,9.09,19.72,2.41,6.73,5.35,6.41,0.66,4.78,5.44,5.13,1.28,0.53,3.05,1.78,5.47,0.461,0.357,0.836,1.6804979253112033,0.4190871369294606,11.921014621792208,102.64007635913156,0.5753549285650102
2023-24,Timberwolves,Rudy Gobert,21.08,32.83,13.43,5.14,7.77,0.0,0.04,3.15,4.94,3.61,8.82,12.43,1.29,0.66,2.05,1.49,3.01,5.2,0.661,0.0,0.638,0.864406779661017,0.4406779661016949,13.058875608676406,146.07177497575168,0.6752800407331976
2023-24,Clippers,Ivica Zubac,21.06,25.27,11.18,4.75,7.31,0.0,0.0,1.69,2.34,2.76,6.06,8.82,1.31,0.31,1.17,1.11,2.54,2.59,0.649,0.0,0.723,1.1772151898734178,0.27848101265822783,11.772770624701955,141.2596833950826,0.6705627998108237
